,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2472,4049,662388,FG,42,1,2015,0,0,University of Phoenix Stadium,-999,-999,-999,Closed Roof,Grass,CC-1150,Chandler Catanzaro
2473,4049,662430,FG,38,1,2015,0,0,University of Phoenix Stadium,-999,-999,-999,Closed Roof,Grass,CC-1150,Chandler Catanzaro
2474,4049,662442,FG,29,1,2015,0,0,University of Phoenix Stadium,-999,-999,-999,Closed Roof,Grass,CC-1150,Chandler Catanzaro
2475,4050,662492,FG,33,1,2015,0,0,Sports Authority Field at Mile High,60,57,9,Cloudy,Grass,BM-1650,Brandon McManus
2476,4050,662520,FG,38,0,2015,0,1,Sports Authority Field at Mile High,60,57,9,Cloudy,Grass,BW-0350,Blair Walsh
2477,4050,662535,FG,47,1,2015,0,0,Sports Authority Field at Mile High,60,57,9,Cloudy,Grass,BM-1650,Brandon McManus
2478,4050,662550,FG,38,1,2015,0,1,Sports Authority Field at Mile High,60,57,9,Cloudy,Grass,BW-0350,Blair Walsh
2479,4050,662622,FG,33,1,2015,0,1,Sports Authority Field at Mile High,60,57,9,Cloudy,Grass,BW-0350,Blair Walsh
2480,4050,662633,FG,39,1,2015,0,0,Sports Authority Field at Mile High,60,57,9,Cloudy,Grass,BM-1650,Brandon McManus
2481,4051,662654,FG,30,1,2015,0,1,Mercedes-Benz Superdome,-999,-999,-999,Dome,UBU Speed Series S5M,DB-0200,Dan Bailey
2482,4051,662734,FG,38,1,2015,0,1,Mercedes-Benz Superdome,-999,-999,-999,Dome,UBU Speed Series S5M,DB-0200,Dan Bailey
2483,4052,662860,FG,41,1,2015,0,1,CenturyLink Field,74,41,8,Sunny,FieldTurf,MP-2100,Matt Prater
2484,4052,662872,FG,51,1,2015,0,0,CenturyLink Field,74,41,8,Sunny,FieldTurf,SH-0400,Steven Hauschka
2485,4052,662889,FG,52,1,2015,0,0,CenturyLink Field,74,41,8,Sunny,FieldTurf,SH-0400,Steven Hauschka
2486,4053,662973,FG,48,1,2015,0,1,NRG Stadium,-999,-999,-999,Closed Roof,Grass,AV-0400,Adam Vinatieri
2487,4053,663009,FG,42,1,2015,0,1,NRG Stadium,-999,-999,-999,Closed Roof,Grass,AV-0400,Adam Vinatieri
2488,4053,663024,FG,36,1,2015,0,0,NRG Stadium,-999,-999,-999,Closed Roof,Grass,NN-0200,Nick Novak
2489,4053,663102,FG,49,1,2015,0,0,NRG Stadium,-999,-999,-999,Closed Roof,Grass,NN-0200,Nick Novak
2490,4054,663156,FG,44,1,2015,0,1,Arrowhead Stadium,72,51,10,Sunny,Grass,RG-1500,Robbie Gould
2491,4054,663201,FG,35,1,2015,0,0,Arrowhead Stadium,72,51,10,Sunny,Grass,CS-0250,Cairo Santos
2492,4054,663217,FG,27,0,2015,0,0,Arrowhead Stadium,72,51,10,Sunny,Grass,CS-0250,Cairo Santos
2493,4054,663228,FG,30,1,2015,0,1,Arrowhead Stadium,72,51,10,Sunny,Grass,RG-1500,Robbie Gould
2494,4054,663287,FG,66,0,2015,0,0,Arrowhead Stadium,72,51,10,Sunny,Grass,CS-0250,Cairo Santos
2495,4055,663360,FG,24,1,2015,0,1,Paul Brown Stadium,66,59,3,Sunny,UBU Speed Series S5M,SH-0400,Steven Hauschka
2496,4055,663442,FG,31,1,2015,0,0,Paul Brown Stadium,66,59,3,Sunny,UBU Speed Series S5M,MN-0800,Mike Nugent
2497,4055,663468,FG,42,1,2015,0,0,Paul Brown Stadium,66,59,3,Sunny,UBU Speed Series S5M,MN-0800,Mike Nugent
2498,4056,663520,FG,42,1,2015,0,0,Georgia Dome,-999,-999,-999,Dome,AstroTurf,MB-4600,Matt Bryant
2499,4056,663543,FG,38,0,2015,0,0,Georgia Dome,-999,-999,-999,Dome,AstroTurf,MB-4600,Matt Bryant
2500,4056,663554,FG,48,0,2015,0,0,Georgia Dome,-999,-999,-999,Dome,AstroTurf,MB-4600,Matt Bryant
2501,4056,663563,FG,53,0,2015,0,1,Georgia Dome,-999,-999,-999,Dome,AstroTurf,DH-3970,Dustin Hopkins
2502,4056,663575,FG,28,1,2015,0,0,Georgia Dome,-999,-999,-999,Dome,AstroTurf,MB-4600,Matt Bryant
2503,4056,663610,FG,28,1,2015,0,1,Georgia Dome,-999,-999,-999,Dome,AstroTurf,DH-3970,Dustin Hopkins
2504,4056,663627,FG,52,1,2015,0,1,Georgia Dome,-999,-999,-999,Dome,AstroTurf,DH-3970,Dustin Hopkins
2505,4057,663645,FG,35,1,2015,0,0,Raymond James Stadium,84,55,9,Clear,Grass,CB-0700,Connor Barth
2506,4057,663679,FG,45,1,2015,0,0,Raymond James Stadium,84,55,9,Clear,Grass,CB-0700,Connor Barth
2507,4057,663726,FG,31,1,2015,0,1,Raymond James Stadium,84,55,9,Clear,Grass,JM-7000,Jason Myers
2508,4057,663752,FG,47,1,2015,0,0,Raymond James Stadium,84,55,9,Clear,Grass,CB-0700,Connor Barth
2509,4058,663886,FG,39,1,2015,0,0,Lincoln Financial Field,67,54,6,Clear,Grass,CS-4250,Caleb Sturgis
2510,4058,663931,FG,29,1,2015,0,0,Lincoln Financial Field,67,54,6,Clear,Grass,CS-4250,Caleb Sturgis
2511,4058,663947,FG,26,1,2015,0,0,Lincoln Financial Field,67,54,6,Clear,Grass,CS-4250,Caleb Sturgis
2512,4058,663962,FG,41,1,2015,0,0,Lincoln Financial Field,67,54,6,Clear,Grass,CS-4250,Caleb Sturgis
2513,4059,664058,FG,51,0,2015,0,0,M&T Bank Stadium,65,48,2,Mostly Sunny,MomentumTurf,JT-3950,Justin Tucker
